Team Name,Year,Week,Year-Week,Duration,Total Distance(m),Total Player Load,Acc 2m/s2 Total Effort,Acc 3m/s2 Total Effort,Dec 2m/s2 Total Effort,Dec 3m/s2 Total Effort,High Intensity Distance(m),Sprint Distance(m),Maximum Velocity(m/s),IMA COD(left),IMA COD(right),Load Per Minute,Distance Per Minute,Acc-Dec-COD Per Minute,Date,Season
Team1,2021,26,2021-W26,146.0,5047.45,526.2,8.5,0.5,9.5,2.5,133.35,0.0,7.041666666666666,46.5,40.5,3.6,34.57,0.72,2021-06-28,
Team1,2021,27,2021-W27,53.148148148148145,4999.139814814815,538.5074074074074,16.50925925925926,2.6944444444444446,14.5,3.6574074074074074,175.9287037037037,30.09444444444444,6.9693930041152266,24.935185185185187,26.833333333333332,10.13,94.06,1.56,2021-07-05,2021/22
Team1,2021,28,2021-W28,55.195402298850574,4666.489655172413,522.755172413793,14.160919540229886,1.5632183908045978,13.011494252873563,4.137931034482759,145.4954022988506,10.582758620689656,7.212324393358876,28.54022988505747,29.24137931034483,9.47,84.54,1.54,2021-07-12,2021/22
Team1,2021,29,2021-W29,57.451219512195124,4524.126829268293,506.2609756097561,14.365853658536585,1.951219512195122,13.634146341463415,3.5853658536585367,128.63536585365853,8.725609756097562,7.032181571815719,22.390243902439025,23.26829268292683,8.81,78.75,1.28,2021-07-19,2021/22
Team1,2021,30,2021-W30,58.6764705882353,4956.9,533.6362745098039,15.323529411764707,1.4803921568627452,15.480392156862745,5.019607843137255,138.85392156862744,14.200980392156863,7.057461873638344,28.19607843137255,29.725490196078432,9.09,84.48,1.51,2021-07-26,2021/22
Team1,2021,31,2021-W31,61.693548387096776,4870.498387096774,542.6596774193548,15.758064516129032,2.7096774193548385,14.612903225806452,4.838709677419355,155.80967741935484,21.2241935483871,7.507616487455198,29.35483870967742,32.74193548387097,8.8,78.95,1.5,2021-08-02,2021/22
Team1,2021,32,2021-W32,64.11,4873.7,541.784,14.06,1.99,14.24,4.68,145.02200000000002,17.222,7.431388888888889,24.69,26.04,8.45,76.02,1.23,2021-08-09,2021/22
Team1,2021,33,2021-W33,63.75961538461539,5192.221153846154,575.7817307692308,14.615384615384615,1.9615384615384615,14.942307692307692,4.423076923076923,147.4201923076923,15.349038461538461,7.196314102564102,29.25,32.67307692307692,9.03,81.43,1.43,2021-08-16,2021/22
Team1,2021,34,2021-W34,65.30097087378641,4925.9572815533975,533.5834951456311,16.04854368932039,2.29126213592233,15.106796116504855,5.12621359223301,180.95145631067962,17.76504854368932,7.069848975188781,27.54368932038835,30.446601941747574,8.17,75.43,1.37,2021-08-23,2021/22
Team1,2021,35,2021-W35,72.17777777777778,5328.2155555555555,607.5555555555555,16.977777777777778,1.8444444444444446,12.911111111111111,3.577777777777778,175.70888888888888,17.406666666666666,7.1722222222222225,32.77777777777778,36.15555555555556,8.42,73.82,1.37,2021-08-30,2021/22
Team1,2021,36,2021-W36,65.71604938271605,4755.892592592592,523.9703703703703,14.209876543209877,1.7160493827160495,13.012345679012345,3.567901234567901,114.02839506172839,14.85061728395062,7.100823045267489,28.333333333333332,32.69135802469136,7.97,72.37,1.34,2021-09-06,2021/22
Team1,2021,37,2021-W37,64.82291666666667,4981.026041666667,536.9072916666667,13.385416666666666,1.8854166666666667,13.541666666666666,3.8854166666666665,169.07604166666667,21.339583333333334,7.310185185185184,25.666666666666668,27.9375,8.28,76.84,1.24,2021-09-13,2021/22
Team1,2021,38,2021-W38,65.4888888888889,5035.162222222222,542.6311111111112,12.977777777777778,2.7444444444444445,13.311111111111112,3.8,154.98888888888888,21.667777777777776,7.182098765432099,25.677777777777777,26.333333333333332,8.29,76.89,1.2,2021-09-20,2021/22
Team1,2021,39,2021-W39,72.46666666666667,5520.8133333333335,597.9057142857142,17.533333333333335,3.1523809523809523,15.847619047619048,5.933333333333334,189.94095238095238,18.676190476190477,7.39021164021164,28.457142857142856,30.18095238095238,8.25,76.18,1.27,2021-09-27,2021/22
Team1,2021,40,2021-W40,72.76315789473684,5750.239473684211,665.8473684210527,20.105263157894736,3.0526315789473686,17.94736842105263,6.473684210526316,187.88684210526316,30.30526315789474,7.120614035087719,46.31578947368421,49.39473684210526,9.15,79.03,1.84,2021-10-04,2021/22
Team1,2021,41,2021-W41,68.4,5566.876249999999,628.20625,16.5125,2.1625,16.725,5.8375,208.61624999999998,20.7725,7.255902777777777,31.3875,34.2375,9.18,81.39,1.45,2021-10-11,2021/22
